"Method","Embedding file","Embedding dimension","Number of clusters (k)","Reduced dimension (q)","Tuning parameter (nu)","Runtime (seconds)","Average silhouette width","Calinski-Harabasz index","Probability silhouette","Within-cluster sum of squares","Status"
"FPDC","user_embeddings_64",64,2,5,6,237.6331,0.0104,58.5203,0.1369,NA,"ok"
"FPDC","user_embeddings_64",64,2,5,10,77.0606,0.0102,57.3005,0.1368,NA,"ok"
"FPDC","user_embeddings_64",64,3,2,6,174.1613,-0.0708,78.9943,0.1345,NA,"ok"
"FPDC","user_embeddings_64",64,3,2,10,61.0804,-0.0708,78.9943,0.1345,NA,"ok"
"FPDC","user_embeddings_64",64,3,3,6,175.6938,-0.0239,81.9507,0.1127,NA,"ok"
"FPDC","user_embeddings_64",64,3,3,10,55.2837,-0.0063,91.266,0.1119,NA,"ok"
"FPDC","user_embeddings_64",64,3,4,6,160.3772,0.0145,67.0697,0.1217,NA,"ok"
"FPDC","user_embeddings_64",64,3,4,10,52.8401,0.0056,60.3727,0.082,NA,"ok"
"FPDC","user_embeddings_64",64,3,5,6,157.587,0.0033,53.321,0.1077,NA,"ok"
"FPDC","user_embeddings_64",64,3,5,10,53.3834,0.0068,56.7768,0.1237,NA,"ok"
"FPDC","user_embeddings_64",64,4,2,6,174.6072,-0.1131,61.7699,0.1276,NA,"ok"
"FPDC","user_embeddings_64",64,4,2,10,60.6577,-0.1131,61.7699,0.1276,NA,"ok"
"FPDC","user_embeddings_64",64,4,3,6,170.6741,-0.0307,69.4225,0.1087,NA,"ok"
"FPDC","user_embeddings_64",64,4,3,10,62.5955,-0.017,73.2578,0.0704,NA,"ok"
"FPDC","user_embeddings_64",64,4,4,6,163.1517,0.0111,40.3332,0.1212,NA,"ok"
"FPDC","user_embeddings_64",64,4,4,10,52.31,0.0114,41.8088,0.1391,NA,"ok"
"FPDC","user_embeddings_64",64,4,5,6,160.4356,-0.0084,35.9704,0.1103,NA,"ok"
"FPDC","user_embeddings_64",64,4,5,10,55.0735,-0.0128,38.9247,0.0966,NA,"ok"
"FPDC","user_embeddings_64",64,5,2,6,200.1552,-0.1016,51.9967,0.1197,NA,"ok"
"FPDC","user_embeddings_64",64,5,2,10,76.4774,-0.0998,51.9891,0.1188,NA,"ok"
"FPDC","user_embeddings_64",64,5,3,6,177.7146,-0.1261,53.0808,0.0794,NA,"ok"
"FPDC","user_embeddings_64",64,5,3,10,60.1337,-0.037,58.7435,0.0976,NA,"ok"
"FPDC","user_embeddings_64",64,5,4,6,165.1464,-5e-04,40.0074,0.0709,NA,"ok"
"FPDC","user_embeddings_64",64,5,4,10,53.9141,0.0123,32.1181,0.1423,NA,"ok"
"FPDC","user_embeddings_64",64,5,5,6,163.1422,-0.0197,25.706,0.0703,NA,"ok"
"FPDC","user_embeddings_64",64,5,5,10,56.2357,-0.0171,27.9207,0.1076,NA,"ok"
"FPDC","user_embeddings_64",64,6,2,6,179.7075,-0.1621,43.9353,0.129,NA,"ok"
"FPDC","user_embeddings_64",64,6,2,10,67.0526,-0.1399,44.1879,0.0958,NA,"ok"
"FPDC","user_embeddings_64",64,6,3,6,218.3325,-0.1872,45.2376,0.087,NA,"ok"
"FPDC","user_embeddings_64",64,6,3,10,67.1995,-0.185,45.5399,0.0894,NA,"ok"
"FPDC","user_embeddings_64",64,6,4,6,166.3208,0.008,26.7984,0.1207,NA,"ok"
"FPDC","user_embeddings_64",64,6,4,10,55.1546,-0.0016,32.9231,0.0926,NA,"ok"
"FPDC","user_embeddings_64",64,6,5,6,166.6099,-0.0307,18.924,0.0581,NA,"ok"
"FPDC","user_embeddings_64",64,6,5,10,59.9778,-0.0387,18.3248,0.0838,NA,"ok"
"FPDC","user_embeddings_64",64,7,2,10,84.8502,-0.1586,38.367,0.1218,NA,"ok"
"FPDC","user_embeddings_64",64,7,3,6,191.0452,-0.1816,39.1952,0.0709,NA,"ok"
"FPDC","user_embeddings_64",64,7,3,10,74.0193,-0.2133,38.301,0.1025,NA,"ok"
"FPDC","user_embeddings_64",64,7,4,6,169.5867,-0.0234,28.9724,0.0898,NA,"ok"
"FPDC","user_embeddings_64",64,7,4,10,61.455,-0.0296,27.8134,0.1051,NA,"ok"
"FPDC","user_embeddings_64",64,7,5,6,164.3719,-0.031,18.6376,0.1001,NA,"ok"
"FPDC","user_embeddings_64",64,7,5,10,56.4276,-0.0465,17.1171,0.1094,NA,"ok"
"FPDC","user_embeddings_64",64,8,2,10,68.9809,-0.1637,34.5469,0.1065,NA,"ok"
"FPDC","user_embeddings_64",64,8,3,6,183.632,-0.1259,33.1926,0.0725,NA,"ok"
"FPDC","user_embeddings_64",64,8,4,6,168.8597,-0.0071,21.4654,0.1029,NA,"ok"
"FPDC","user_embeddings_64",64,8,4,10,57.9629,-0.0021,18.7673,0.1157,NA,"ok"
"FPDC","user_embeddings_64",64,8,5,6,163.815,-0.0647,12.4075,0.0987,NA,"ok"
"FPDC","user_embeddings_64",64,8,5,10,55.281,-0.0503,13.0996,0.0794,NA,"ok"
"FPDC","user_embeddings_128",128,2,2,6,8392.2575,0.0069,52.911,0.0843,NA,"ok"
"FPDC","user_embeddings_128",128,2,2,10,2878.7554,0.0069,52.8481,0.0843,NA,"ok"
"FPDC","user_embeddings_128",128,2,3,6,8224.39,0.0056,39.8711,0.1052,NA,"ok"
"FPDC","user_embeddings_128",128,2,3,10,2808.3583,0.0056,39.935,0.1052,NA,"ok"
"FPDC","user_embeddings_128",128,2,4,6,244.2142,0.0036,18.513,0.0855,NA,"ok"
"FPDC","user_embeddings_128",128,2,4,10,78.1002,0.0036,19.2128,0.0856,NA,"ok"
"FPDC","user_embeddings_128",128,2,5,6,242.2718,0.0027,12.5816,0.0949,NA,"ok"
"FPDC","user_embeddings_128",128,2,5,10,80.8861,0.0025,12.0355,0.095,NA,"ok"
"FPDC","user_embeddings_128",128,3,2,6,172.1246,-0.0656,74.639,0.1245,NA,"ok"
"FPDC","user_embeddings_128",128,3,2,10,54.8449,-0.0641,74.7951,0.1205,NA,"ok"
"FPDC","user_embeddings_128",128,3,3,6,182.9975,-0.0047,76.7221,0.1079,NA,"ok"
"FPDC","user_embeddings_128",128,3,3,10,62.4882,2e-04,75.8859,0.0984,NA,"ok"
"FPDC","user_embeddings_128",128,3,4,6,162.2062,0.0031,49.4124,0.0577,NA,"ok"
"FPDC","user_embeddings_128",128,3,4,10,52.5472,-0.0022,54.458,0.0787,NA,"ok"
"FPDC","user_embeddings_128",128,3,5,6,160.3955,-0.0041,39.0539,0.046,NA,"ok"
"FPDC","user_embeddings_128",128,3,5,10,53.3487,-0.0141,38.3427,0.0473,NA,"ok"
"FPDC","user_embeddings_128",128,4,2,6,188.1598,-0.115,56.4322,0.1363,NA,"ok"
"FPDC","user_embeddings_128",128,4,2,10,69.0763,-0.1147,56.5893,0.1355,NA,"ok"
"FPDC","user_embeddings_128",128,4,3,6,185.6426,-0.0526,60.9563,0.0781,NA,"ok"
"FPDC","user_embeddings_128",128,4,3,10,63.9995,-0.0421,61.798,0.1026,NA,"ok"
"FPDC","user_embeddings_128",128,4,4,6,167.6919,-0.0312,32.2782,0.064,NA,"ok"
"FPDC","user_embeddings_128",128,4,4,10,57.2763,-0.0293,33.6962,0.0571,NA,"ok"
"FPDC","user_embeddings_128",128,4,5,6,165.6139,-0.0042,26.7946,0.0469,NA,"ok"
"FPDC","user_embeddings_128",128,4,5,10,52.8084,-0.0191,23.7765,0.046,NA,"ok"
"FPDC","user_embeddings_128",128,5,2,6,177.9858,-0.1049,46.1151,0.1302,NA,"ok"
"FPDC","user_embeddings_128",128,5,2,10,65.1494,-0.1219,45.8205,0.1298,NA,"ok"
